time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
3.75000000,2.02394023,0.00000000,2.02394023,15,0.07076742
3.76666667,2.11192161,0.00000000,2.11192161,15,0.07076742
3.78333333,2.14811885,0.00000000,2.14811885,15,0.07076742
3.80000000,2.21416670,0.00000000,2.21416670,15,0.07076742
3.81666667,2.26714212,0.00000000,2.26714212,16,0.07076742
3.83333333,2.44480398,0.00000000,2.44480398,16,0.07076742
3.85000000,2.84449886,0.00000000,2.84449886,16,0.07076742
3.86666667,2.84195103,0.00000000,2.84195103,17,0.07076742
3.88333333,2.97161649,0.00000000,2.97161649,17,0.07076742
3.90000000,2.67843428,0.00000000,2.67843428,17,0.07076742
3.91666667,2.60281678,0.00000000,2.60281678,18,0.07076742
3.93333333,2.43378167,0.00000000,2.43378167,18,0.07076742
3.95000000,2.49851145,0.00000000,2.49851145,19,0.07076742
3.96666667,2.38263083,0.00000000,2.38263083,19,0.07076742
3.98333333,2.48638588,0.00000000,2.48638588,20,0.07076742
4.00000000,2.63475338,0.00000000,2.63475338,20,0.07076742
4.01666667,2.65165995,0.00000000,2.65165995,20,0.07076742
4.03333333,2.54923928,0.00000000,2.54923928,20,0.07076742
4.05000000,2.19082241,0.00000000,2.19082241,21,0.07076742
4.06666667,2.14425054,0.00000000,2.14425054,21,0.07076742
4.08333333,2.41207460,0.00000000,2.41207460,21,0.07076742
4.10000000,2.54146665,0.00000000,2.54146665,21,0.07076742
4.11666667,2.16485992,0.00000000,2.16485992,21,0.07076742
4.13333333,2.11679769,0.00000000,2.11679769,21,0.07076742
4.15000000,2.31683347,0.00000000,2.31683347,21,0.07076742
4.16666667,2.21635324,0.00000000,2.21635324,21,0.07076742
4.18333333,2.01086536,0.00000000,2.01086536,21,0.07076742
4.20000000,2.28518025,0.00000000,2.28518025,21,0.07076742
4.21666667,2.22559382,0.00000000,2.22559382,21,0.07076742
4.23333333,1.75287634,0.00000000,1.75287634,21,0.07076742
4.25000000,1.59089664,0.00000000,1.59089664,21,0.07076742
4.26666667,1.65228189,0.00000000,1.65228189,21,0.07076742
4.28333333,1.89019416,0.00000000,1.89019416,21,0.07076742
4.30000000,1.68357313,0.00000000,1.68357313,21,0.07076742
4.31666667,1.89144259,0.00000000,1.89144259,21,0.07076742
4.33333333,2.05262487,0.00000000,2.05262487,21,0.07076742
4.35000000,2.23703130,0.00000000,2.23703130,20,0.07076742
4.36666667,1.81133348,0.00000000,1.81133348,20,0.07076742
