time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
4.08333333,533.68442726,0.00000000,533.68443298,640,0.60372115
4.10000000,742.36365891,0.00000000,742.36365891,641,0.60372129
4.11666667,917.91717911,0.00000000,917.91715622,641,0.60372111
4.13333333,1039.99961090,0.00000000,1039.99962616,640,0.60372111
4.15000000,1114.63031769,0.00000000,1114.63034058,640,0.60372092
4.16666667,1120.95227814,0.00000000,1120.95219421,640,0.60372115
4.18333333,1068.20396423,0.00000000,1068.20407104,640,0.60372129
4.20000000,955.01921844,0.00000000,955.01919174,640,0.60372115
4.21666667,796.58652878,0.00000000,796.58640289,640,0.60372111
4.23333333,594.54947662,0.00000000,594.54943085,640,0.60372106
4.25000000,376.92832184,0.00000000,376.92834091,640,0.60372124
4.26666667,248.97662640,0.00000000,248.97662735,640,0.60372143
4.28333333,425.31520844,0.00000000,425.31521416,640,0.60372134
4.30000000,638.25210190,0.00000000,638.25207138,641,0.60372083
4.31666667,840.33259201,0.00000000,840.33264160,640,0.60372124
4.33333333,991.91524887,0.00000000,991.91535950,640,0.60372111
4.35000000,1096.58115387,0.00000000,1096.58113098,641,0.60372106
4.36666667,1135.90856171,0.00000000,1135.90858459,641,0.60372129
4.38333333,1110.01848602,0.00000000,1110.01846313,641,0.60372138
4.40000000,1020.92173004,0.00000000,1020.92165756,640,0.60372120
4.41666667,878.36454773,0.00000000,878.36447144,641,0.60372134
4.43333333,696.55036926,0.00000000,696.55040359,640,0.60372120
4.45000000,485.24961662,0.00000000,485.24960899,641,0.60372115
4.46666667,281.22920990,0.00000000,281.22923279,641,0.60372097
4.48333333,319.51172447,0.00000000,319.51173401,641,0.60372143
4.50000000,530.11655045,0.00000000,530.11650848,640,0.60372138
4.51666667,743.75174332,0.00000000,743.75174713,640,0.60372101
4.53333333,916.69919205,0.00000000,916.69927216,640,0.60372143
4.55000000,1041.87290955,0.00000000,1041.87280273,640,0.60372120
4.56666667,1112.75323486,0.00000000,1112.75321198,640,0.60372115
4.58333333,1122.71219635,0.00000000,1122.71218872,640,0.60372134
4.60000000,1071.36290741,0.00000000,1071.36300659,640,0.60372111
4.61666667,954.21488953,0.00000000,954.21486282,640,0.60372101
4.63333333,796.42938995,0.00000000,796.42942429,640,0.60372134
4.65000000,593.75368690,0.00000000,593.75367165,640,0.60372138
4.66666667,378.31023026,0.00000000,378.31020546,640,0.60372161
4.68333333,253.01396751,0.00000000,253.01398373,640,0.60372161
4.70000000,425.29428291,0.00000000,425.29431725,640,0.60372106
4.71666667,643.33636475,0.00000000,643.33634567,640,0.60372120
4.73333333,835.96042252,0.00000000,835.96045303,640,0.60372124
4.75000000,991.35375214,0.00000000,991.35369110,640,0.60372129
4.76666667,1095.25106049,0.00000000,1095.25119019,641,0.60372124
4.78333333,1136.18817902,0.00000000,1136.18837738,641,0.60372124
